date,time,Reconstructed_Total
25-09-2024,08:05 - 08:10,196
25-09-2024,08:10 - 08:15,208
25-09-2024,08:15 - 08:20,205
25-09-2024,08:20 - 08:25,194
25-09-2024,08:25 - 08:30,202
25-09-2024,08:30 - 08:35,215
25-09-2024,08:35 - 08:40,205
25-09-2024,08:40 - 08:45,183
25-09-2024,08:45 - 08:50,166
25-09-2024,08:50 - 08:55,163
25-09-2024,08:55 - 09:00,164
25-09-2024,09:00 - 09:05,155
25-09-2024,09:05 - 09:10,143
25-09-2024,09:10 - 09:15,148
25-09-2024,09:15 - 09:20,169
25-09-2024,09:20 - 09:25,194
25-09-2024,09:25 - 09:30,210
25-09-2024,09:30 - 09:35,212
25-09-2024,09:35 - 09:40,200
25-09-2024,09:40 - 09:45,181
25-09-2024,09:45 - 09:50,167
25-09-2024,09:50 - 09:55,160
25-09-2024,09:55 - 10:00,158
25-09-2024,10:00 - 10:05,160
25-09-2024,10:05 - 10:10,165
25-09-2024,10:10 - 10:15,172
25-09-2024,10:15 - 10:20,172
25-09-2024,10:20 - 10:25,164
25-09-2024,10:25 - 10:30,153
25-09-2024,10:30 - 10:35,149
25-09-2024,10:35 - 10:40,153
25-09-2024,10:40 - 10:45,158
25-09-2024,10:45 - 10:50,164
25-09-2024,10:50 - 10:55,173
25-09-2024,10:55 - 11:00,181
25-09-2024,11:00 - 11:05,185
25-09-2024,11:05 - 11:10,184
25-09-2024,11:10 - 11:15,176
25-09-2024,11:15 - 11:20,169
25-09-2024,11:20 - 11:25,167
25-09-2024,11:25 - 11:30,173
25-09-2024,11:30 - 11:35,180
25-09-2024,11:35 - 11:40,182
25-09-2024,11:40 - 11:45,178
25-09-2024,11:45 - 11:50,169
25-09-2024,11:50 - 11:55,161
25-09-2024,11:55 - 12:00,160
25-09-2024,12:00 - 12:05,168
25-09-2024,12:05 - 12:10,178
25-09-2024,12:10 - 12:15,177
25-09-2024,12:15 - 12:20,168
25-09-2024,12:20 - 12:25,166
25-09-2024,12:25 - 12:30,175
25-09-2024,12:30 - 12:35,192
25-09-2024,12:35 - 12:40,199
25-09-2024,12:40 - 12:45,192
25-09-2024,12:45 - 12:50,181
25-09-2024,12:50 - 12:55,177
25-09-2024,12:55 - 13:00,183
25-09-2024,13:00 - 13:05,196
